# chinese,pinyin,english and descriptions
不但我从来不抽烟而且从来没喝过酒,bu4:2 dan4 wo3 cong2 lai2 bu4 chou1 yan1 er2 qie3 cong2 lai2 mei2 he1 guo4 jiu3,not only do i never smoke but i have also never drank alcohol
介,jie4,introduce/lie between (c. 介绍)
绍,shao4,continue/carry on (c. 介绍)
介绍,jie4 shao4,introduce/present/give presentation
帅,shuai4,handsome/cool!
说话,shuo1 hua4,say/speak/talk/talking
的时候,de shi2 hou4,when action occurs or at a time (verb/time-的时候)
下雪的时候,xia4 xue3 de shi2 hou4,when it snows
有时,you3 shi2,sometimes (alt. 有时候)
有时候,you3 shi2 hou4:,sometimes (alt. 有时)
十一点的时候,shi2 yi1 dian3 de shi2 hou4,at 11 o'clock/at 11:00
别人,bie2 ren2,others/other people
东,dong1,east (said first)
南,nan2,south (said second)
西,xi1,west (said third) [覀]
北,bei3,north (said fourth)
东南西北,dong1 nan2 xi1 bei3,all directions
东北,dong1 bei3,northeast/eastnorth
西北,xi1 bei3,northwest/westnorth
西南,xi1 nan2,southwest/westsouth
东南,dong1 nan2,southeast/eastsouth
第,di4,prefix for ordinal numbers (first second third etc.)
第一,di4 yi1,the first/number one/primary
第二次,di4 er4 ci4,second time
学习,xue2 xi2,learn/study
练,lian4,practice/drill (c. 练习/教练)
习,xi2,practice/flapping wings (c. 练习)
练习,lian4 xi2,practice/drill
乒乓球,ping1 pang1 qiu2,ping pong/table tennis
赛,sai4,compete or contend (verb)/contest or race (c. 比赛/赛车)
比赛,bi3 sai4,match/competition/game
赛车,sai4 che1,race car
参,can1,take part in/intervene (c. 参加)
参加,can1 jia1,participate/take part in/join/attend
排,pai2,row/rank/line (c. 排球)
排球,pai2 qiu2,volleyball (lit. row/rank/line ball)
加,jia1,add/increase/augment/plus
油,you2,oil or grease (noun) (c. 加油)/oily or greasy (adj)
加油,jia1 you2,come on!/accelerate/refuel
网球,wang3 qiu2,tennis (lit. net ball)
输,shu1,lose/transport/donate
赢,ying2,win/defeat/profit
失,shi1,lose/miss/fail (c. 失望)
失望,shi1 wang4,disappointed/lose hope/despair
信心,xin4 xin1,confidence/faith in
懂,dong3,understand/comprehend
课,ke4,class/course/lesson
教,jiao1 :: jiao4,teach :: religion/teaching (c. 教室/教练)
教室,jiao4 shi4,classroom
理,li3,reason/logic (c. 地理/经理)
不理,bu4 li3,ignore/refuse to acknowledge/pay no attention to
地理,di4 li3,geography
术,shu4,art/skill/special feat (c. 美术)
美术,mei3 shu4,fine arts
笔,bi3,pen/pencil/writing brush
考,kao3,examine/test/investigate (c. 考试)
考试,kao3 shi4,take an exam/take a test
科,ke1,section/department/science (c. 科学)
科学,ke1 xue2,science/scientific knowledge
备,bei4,prepare (c. 准备)
准备,zhun3 bei4,prepare/prepare for/preparation
准备好了,zhun3 bei4 hao3 le,ready/well-prepared
还有,hai2 you3,furthermore/in addition/still
阿,a1,prefix to indicate kinship (c. 阿姨)
亲,qin1,close/dear (c. 亲戚)
戚,qi1,relative/parent/grief/sorrow (c. 亲戚)
亲戚,qin1 qi1:,relatives (family relation)
父,fu4,father (c. 父亲/师父)
父亲,fu4 qin1,father (formal)
母,mu3,mother/origin/source (c. 母亲)
母亲,mu3 qin1,mother (formal)
父母,fu4 mu3,parents/father and mother (formal)
爷爷,ye2 ye2:,grandfather/grandpa
奶奶,nai3 nai3:,grandmother/grandma
阿姨,a1 yi2,aunt
叔叔,shu1 shu1:,uncle
兄,xiong1,older brother (c. 兄弟/兄弟姐妹)
兄弟,xiong1 di4,brothers/younger male buddy (slang)
大哥,da4 ge1,older male buddy (slang)
姐妹,jie3 mei4,sisters
兄弟姐妹,xiong1 di4 jie3 mei4,siblings/brothers and sisters
像,xiang4,resembles/similar/like (before 一样)
一样,yi1:2 yang4,same/equal to/just like (after 像/和/跟)
像，一样,xiang4 : yi1:2 yang4,is similar to .../is like ... (n1-像-n2-一样)
我的成绩像他们的一样,wo3 de cheng2 ji4 xiang4 ta1 men de yi1:2 yang4,my grades are like theirs
像，一样高,xiang4 : yi1:2 yang4 gao1,is as tall as ... (n1-像-n2-一样-adj)
她像猫一样聪明,ta1 xiang4 mao1 yi1:2 yang4 cong1 ming2,she is as smart as a cat
跟，一样,gen1 : yi1:2 yang4,is the same as ... (n1-跟-n2-一样) (swap 跟/和)
你的头发跟我的一样,ni3 de tou2 fa4: gen1 wo3 de yi1:2 yang4,your hair is the same as mine
点心,dian3 xin1,refreshment/pasty/dim sum
笼,long2,cage
小笼包,xiao3 long2 bao1,steamed dumplings/soup dumplings
油条,you2 tiao2,fritter/deep-fried dough stick
豆,dou4,beans/bean-shaped/peas (c. 豆浆)
浆,jiang1,starch/broth/thick fluid (c. 豆浆)
豆浆,dou4 jiang1,soy milk
炒,chao3,fried
粥,zhou1,congee/porridge/gruel (eat or drink)
拉,la1,pull/drag
拉面,la1 mian4,ramen/lamian/pulled noodles
锅,guo1,pot/pan
火锅,huo3 guo1,hot pot (style of serving food)
前,qian2,before/ago (placed after time or event)
后,hou4,after/from now (placed after time or event)
前天,qian2 tian1,day before yesterday
后天,hou4 tian1,day after tomorrow
三天前,san1 tian1 qian2,3 days ago/3 days back
七天后,qi1 tian1 hou4,7 days later/7 days from now
春,chun1,spring season/joyful (c. 春节/春天)
春节,chun1 jie2,spring festival/chinese new year
春天,chun1 tian1,spring season
夏,xia4,summer/great/grand (c. 夏天)
夏天,xia4 tian1,summer season
秋,qiu1,autumn/fall (c. 秋天)
秋天,qiu1 tian1,autumn season/fall season
冬,dong1,winter (c. 冬天)
冬天,dong1 tian1,winter season
季,ji4,season/quarter of the year (c. 季节)
季节,ji4 jie2,season
澳,ao4,inlet/bay (c. 澳大利亚)
亚,ya4,asia continent (c. 澳大利亚/亚洲/东亚)
亚洲,ya4 zhou1,asia continent
东亚,dong1 ya4,east asia continent
澳大利亚,ao4 da4 li4 ya4,australia country
越,yue4,exceed/climb/surpass (c. 越来越)
越来越,yue4 lai2 yue4,more and more/getting more (+adj)
堵,du3,stop/block/prevent (c. 堵车)
堵车,du3 che1,traffic jams
概,gai4,generally/approximately (c. 大概)
大概,da4 gai4,probably/roughly/approximately (before verb)
刚,gang1,just happened (adv)
准时,zhun3 shi2,punctual/on time/on schedule
挺，的,ting3 : de,quite .../rather ...
一边，一边,yi1:4 bian1 : yi1:4 bian1,concurrently/at the same time (一边-v1-一边-v2) (can omit both 一)
她爱一边唱歌一边跳舞,ta1 ai4 yi1:4 bian1 chang4 ge1 yi1:4 bian1 tiao4 wu3,she loves to sing and dance at the same time
皮,pi2,skin/fur/leather (c. 调皮)
折,zhe2,bend/break/fracture (c. 打折)
打折,da3 zhe2,offer a discounted price
附,fu4,adhere to/be close to/attach (c. 附近)
附近,fu4 jin4,vicinity/nearby (location noun)
出租车附近有两只鸟,chu1 zu1 che1 fu4 jin4 you3:2 liang3 zhi1 niao3,there are two birds near the taxi
中间,zhong1 jian1,between/among
园,yuan2,park/garden/orchard (c. 花园/公园)
公园,gong1 yuan2,public park
图,tu2,diagram/chart/map (c. 图书馆/地图)
图书馆,tu2 shu1 guan3,library
公园在图书馆和学校中间,gong1 yuan2 zai4 tu2 shu1 guan3 he2 xue2 xiao4 zhong1 jian1,the park is between the library and the school
上面,shang4 mian4,top side/on/above
下面,xia4 mian4,bottom side/under
元,yuan2,yuan/rmb (formal)
人民,ren2 min2,the people/inhabitants of a country (c. 人民币)
币,bi4,currency (c. 人民币/港币/农民)
人民币,ren2 min2 bi4,yuan/rmb/people's currency
港币,gang3 bi4,hong kong dollars (alt. 港元)
港元,gang3 yuan2,hong kong dollars (alt. 港币)
不是十一块美金，是十块,bu4:2 shi4 shi2 yi1:2 kuai4 mei3 jin1 : shi4 shi2 kuai4,it is not eleven dollars it is ten dollars
角,jiao3,angle/corner/tenth of yuan (formal)
块,kuai4,yuan or rmb (informal)/mw for piece or chunk or money
毛,mao2,hair/tenth of yuan (informal)
城,cheng2,city walls (c. 城市)
城市,cheng2 shi4,city/town
长城,chang2 cheng2,great wall of china
花,hua1,flower or blossom (noun)/spend time or spend money (verb)
鲜花,xian1 hua1,fresh flowers
换,huan4,exchange/substitute
方,fang1,square/direction (cardinal)
地方,di4 fang1:,area/place/site
咖啡馆,ka1 fei1 guan3,cafe/coffee shop
过一会儿,guo4 yi1:2 hui4 r,later/after a while
过一会儿呢,guo4 yi1:2 hui4 r ne,how about later?
袋子,dai4 zi,bag
经过,jing1 guo4,pass by/walk by
退,tui4,step back/retreat/withdraw
货,huo4,goods/products (c. 吃货/退货)
退货,tui4 huo4,return a purchase/withdraw a product
款,kuan3,paragraph/section/money (c. 退款)
退款,tui4 kuan3,refund (noun or verb)/return money
以前,yi3 qian2,before event or time (emphasizing now)/previous or former (adj)
以后,yi3 hou4,after event or time (emphasizing now)/next or future (adj)
这是我以前的公司,zhe4 shi4 wo3:2 yi3 qian2 de gong1 si1:,this is my former company
那是她以后的丈夫,na4 shi4 ta1 yi3 hou4 de zhang4 fu1:,that is her future husband
有些人上班以前洗澡,you3 xie1 ren2 shang4 ban1 yi3 qian2 xi3:2 zao3,some people shower before going to work
刷牙以后别吃牛肉,shua1 ya2 yi3 hou4 bie2 chi1 niu2 rou4,do not eat beef after brushing your teeth
马上,ma3 shang4,immediately/right away/at once (before verb)
刷,shua1,clean with a brush/scrub (c. 刷牙)/scroll through social media (slang)
刷牙,shua1 ya2,brush teeth
澡,zao3,bath (noun) (c. 洗澡)
洗澡,xi3:2 zao3,shower/bathe
惯,guan4,habit/custom (c. 习惯)
习惯,xi2 guan4,habit (noun)/habitually or accustomed to (verb)
总,zong3,always/assemble/total/overall/chief (c. 总是)
总是,zong3 shi4,always/over and over again as a matter of habit (negative connotation)
梦,meng4,dream/visionary/wishful (c. 做梦)
做梦,zuo4 meng4,dream (verb or noun)
故,gu4,ancient/old/former (c. 故事/故宫/故意)
故事,gu4 shi4:,story/tale
讲,jiang3,explain/emphasize/negotiate (c. 演讲)
除,chu2,remove/exclude/eliminate (c. 扫除)
除了，都,chu2 le : dou1,except for .../excluding ...
除了你，他们都在这里,chu2 le ni3 : ta1 men dou1 zai4 zhe4 li3,they are all here except for you
除了，还,chu2 le : hai2,in addition to .../apart from ... (swap 还/也)
除了冰水，我们还喝热茶,chu2 le bing1 shui3 : wo3 men hai2 he1 re4 cha2,in addition to ice water we also drink hot tea
其,qi2,possessive prefix/that or those previously mentioned (c. 其次/其中/其他)
其他,qi2 ta1,other/the rest/something else/someone else
饺子,jiao3 zi,dumpling/pot-sticker/chinese ravioli
极了,ji2 le,extremely/utmost (after adj)
辣,la4,spicy/pungent
苦,ku3,bitter/hardship/suffer
难吃,nan2 chi1,tastes bad/difficult to eat (adj)
难喝,nan2 he1,tastes bad/difficult to drink (adj)
炒饭,chao3 fan4,fried rice
盐,yan2,salt
咸,xian2,salty
南方菜,nan2 fang1 cai4,southern cuisine/southern food
西方人,xi1 fang1 ren2,westerner/western person
东边,dong1 bian1,east side/east edge
北面,bei3 mian4,north side/north face
先,xian1,do something first (adj) (c. 首先)
首,shou3,head/chief/first/mw for songs (c. 首先)
首先,shou3 xian1,first item in a series (before 然后 and 最后)
然后,ran2 hou4,then/afterwards (after 首先 but before 最后)
最后,zui4 hou4,last/lastly/eventually (after 首先 and 然后)
首先，然后,shou3 xian1 : ran2 hou4,first ... then/afterwards (swap 然后/再)
首先，然后，最后,shou3 xian1 : ran2 hou4 : zui4 hou4,first ... then ... last
往左去,wang3:2 zuo3 qu4,go left
往右走,wang3 you4 zou3,walk right
往后看,wang3 hou4 kan4,look backwards/look behind
直,zhi2,straight/reasonable/frank (c. 一直)
一直,yi1:4 zhi2,constantly/continuously/nonstop/always doing something
一直往前走,yi1:4 zhi2 wang3 qian2 zou3,go straight ahead
哪条路，右边那条路,na3 tiao2 lu4 : you4 bian1 na4 tiao2 lu4,which road? that road on the right
围,wei2,encircle/all around (c. 周围)
周围,zhou1 wei2,around/surroundings/environment
商店周围有很少树,shang1 dian4 zhou1 wei2 you3 hen3:2 shao3 shu4,there are few trees around the shop
址,zhi3,location/site/building foundation (c. 地址)
地址,di4 zhi3,address (lit. earth place)
迷,mi2,fan or enthusiast (noun)/lost (adj) (c. 迷路/电影迷)
迷路,mi2 lu4,lost/lose the way
电影迷,dian4 ying3 mi2,movie fan (alt. 影迷)
黑白电影,hei1 bai2 dian4 ying3,black and white movie
出国,chu1 guo2,leave home country/go abroad
回国,hui2 guo2,return to home country
普,pu3,general/popular/everywhere/universal (c. 普通)
通,tong1,go through/unblock/connect/communicate (c. 普通/通知)
通常,tong1 chang2,normally/generally (positive connotation)
普通,pu3 tong1,ordinary/common/general (c. 普通话)
普通话,pu3 tong1 hua4,mandarin chinese language/common language (alt. 国语)
国语,guo2 yu3,mandarin chinese language/national language (alt. 普通话)
长大,zhang3 da4,grow up
长得,zhang3 de,how something looks (pretty or the same etc)
级,ji2,level/grade/rank/mw for levels or steps
年级,nian2 ji2,school grade level
五年级,wu3 nian2 ji2,fifth grade/5th grade
初,chu1,at first/at the beginning/junior/basic
小学,xiao3 xue2,elementary school/primary school
中学,zhong1 xue2,generic secondary school (middle or high)
初中,chu1 zhong1,middle school/junior high school (abbreviated)
初级中学,chu1 ji2 zhong1 xue2,middle school/junior high school (unabbreviated)
高中,gao1 zhong1,high school/senior high school (abbreviated)
高级中学,gao1 ji2 zhong1 xue2,high school/senior high school (unabbreviated)
大学,da4 xue2,college/university
较,jiao4,compare/dispute/more than (c. 比较)
戴,dai4,wear accessory clothing (glasses hat gloves jewelry etc)
镜,jing4,mirror/lens (c. 眼镜/镜子)
眼镜,yan3 jing4,eyeglasses/spectacles
年轻人,nian2 qing1 ren2,young person
老人,lao3 ren2,old person/elder
比较,bi3 jiao4,comparatively more/adj-er than (before adj & requires context)
自,zi4,self/oneself (c. 自己)
己,ji3,self/oneself (c. 自己)
自己,zi4 ji3,one's self/reflexive pronoun
我自己,wo3 zi4 ji3,myself
你们自己,ni3 men zi4 ji3,yourselves
她自己,ta1 zi4 ji3,herself
他们自己,ta1 men zi4 ji3,themselves
个人,ge4 ren2,individual (noun and adj)
一个人,yi1:2 ge4 ren2,alone (adv)/one person (noun)
自己一个人,zi4 ji3 yi1:2 ge4 ren2,alone by one's self (before verb & added emphasis)
般,ban1,sort/kind/class (c. 一般)
一般,yi1:4 ban1,normally/generally/usually
见面,jian4 mian4,meet up/see each other
聊天,liao2 tian1,chat/gossip
买东西,mai3 dong1 xi1:,shopping/buy things
护,hu4,protect/guard/defend (c. 护照)
护照,hu4 zhao4,passport
签,qian1,endorse/sign onto (c. 签证/证明/证据)
证,zheng4,prove/confirm/verify (c. 签证)
签证,qian1 zheng4,visa/certificate
起飞,qi3 fei1,airplane take off
离开,li2 kai1,leave/depart
离婚,li2 hun1,divorce (noun and verb)
发现,fa1 xian4,realize/discover
实现,shi2 xian4,achieve/implement/bring about
检,jian3,check/examine/inspect (c. 检查)
查,cha2,research/investigate/check (c. 检查)
检查,jian3 cha2,inspect or examine or check (verb)/inspection or examination (noun)
检察官,jian3 cha2 guan1,prosecutor
李,li3,plum/common surname
行李,xing2 li3,luggage/baggage (alt. 行李箱)
全,quan2,all/whole/entire (c. 安全)
安全,an1 quan2,safe/secure
安全检查,an1 quan2 jian3 cha2,undergo a security check (alt. 安检)
安检,an1 jian3,undergo a security check (alt. 安全检查)
再，一次,zai4 : yi1:2 ci4,... one more time/... once more
乎,hu1,doubt/astonishment (final particle)
几乎,ji1 hu1,almost/nearly
忘,wang4,forget/neglect/overlook/omit
记,ji4,remember/memorize/record (c. 忘记/记得/记住)
忘记,wang4 ji4,forget
海关,hai3 guan1,customs (when crossing borders)
早一点到。我们首先喝一点茶,zao3 yi1:4 dian3 dao4 : wo3 men shou3 xian1 he1 yi1:4 dian3 cha2,arrive earlier. we will drink a bit of tea first
，了，了,: le : le,has been doing (action) for (period of) time
我想了很久了,wo3:2 xiang3 le hen3:2 jiu3 le,i thought for a long time/i thought about it for a long time
他留医院留了二十月了,ta1 liu2 yi1 yuan4 liu2 le er4 shi2 yue4 le,he has been in the hospital for 20 months
你拍照拍了九分钟了,ni3 pai1 zhao4 pai1 le jiu3 fen1 zhong1 le,you have been taking pictures for 9 minutes
外国人,wai4 guo2 ren2,foreigner
种,zhong3 :: zhong4,kind/type/mw for kinds or types :: plant/grow/cultivate
言,yan2,words/speech (c. 语言) [讠]
语言,yu3 yan2,language
容,rong2,hold/contain/tolerate (c. 容易/内容/形容词)
易,yi4,easy/amiable/prefix for -able or -ible (c. 容易/交易所)
容易,rong2 yi4,easy/likely
很多种语言,hen3 duo1 zhong3:2 yu3 yan2,many languages
更,geng4,more/even more (before adj) (alt. 更加)
更加,geng4 jia1,more/even more (before adj) (alt. 更)
努,nu3,exert/strive/make an effort (c. 努力)
努力,nu3 li4,try hard/great effort/strive (adv)
平,ping2,flat/level/equal (c. 水平)
水平,shui3 ping2,skills/skill level/proficiency/standards
提高,ti2 gao1,increase/improve/raise
后来,hou4 lai2,afterwards/later (emphasize time after a certain past time or event)
地,di4 :: de,earth/ground/land :: modify action (adv-地-verb)
哭,ku1,cry/weep
生气,sheng1 qi4,angry/take offense
难过,nan2 guo4,sad/upset/unhappy
看起来,kan4 qi3 lai2:,looks like/seems like/appears to be (adv)
听起来,ting1 qi3 lai2:,sounds like (adv)
闻起来,wen2 qi3 lai2:,smells like (adv)
吃起来,chi1 qi3 lai2:,tastes like (adv)
奇,qi2,strange/odd (c. 奇怪)
怪,guai4,strange/odd (c. 奇怪)
奇怪,qi2 guai4,strange/odd
紧,jin3,tight/strict/short of money (c. 紧张)
紧张,jin3 zhang1,nervous/strained
怕,pa4,fear/dread/be afraid (c. 可怕/害怕)
可怕,ke3 pa4,fearful/dreadful/scary
遇,yu4,encounter/receive/opportunity (c. 遇到)
遇到,yu4 dao4,encounter/come across/run into
好笑,hao3 xiao4,funny/laughable/ridiculous
经常,jing1 chang2,frequently/often/constantly/regularly (sim. 常常)
常常,chang2 chang2,frequently/often (sim. 经常)
我常常坐公共汽车去,wo3 chang2 chang2 zuo4 gong1 gong4 qi4 che1 qu4,i often go by bus/i often take the bus to go
热情,re4 qing2,passionate/warm-hearted/affectionate/enthusiastic (living thing only)
关心,guan1 xin1,care about/be concerned about
我的妻子有点可怕,wo3 de qi1 zi you3:2 dian3 ke3 pa4,my wife is a little scary
你们看起来紧张极了,ni3 men kan4 qi3 lai2 jin3 zhang1 ji2 le,you look extremely nervous
你难过地哭着吗,ni3 nan2 guo4 de ku1 zhe ma,are you crying sadly?
他后来生气地锻炼了,ta1 hou4 lai2 sheng1 qi4 de duan4 lian4 le,he later trained angrily/he later worked out angrily
这些故事经常更好笑,zhe4 xie1 gu4 shi4: jing1 chang2 geng4 hao3 xiao4,these stores are often even funnier
特,te4,special/unique/distinguished (c. 特别/特区)
特别,te4 bie2,especially (before adj)/special (adj)
特别是,te4 bie2 shi4,especially (before noun/verb)
不太,bu4:2 tai4,not very (don't need 了 after)
死,si3,die/impassable/inflexible
死了,si3 le,died/to death (extreme intensifier & after adj)
啊,a,suprise/emotion/emphasis suffix
多么，啊,duo1 me : a,how ... it is!
最坏,zui4 haui4,worst/superlatively bad
一点儿都不苦,yi1:4 dia3 r dou1 bu4 ku3,not bitter at all/not even a little bitter
不太大,bu4:2 tai4 da4,not too big/not so big/not very big
有点辣,you3:2 dian3 la4,a bit spicy/a little spicy
很舒服,hen3 shu1 fu2:,comfortable (no intensity change)
短一点点,duan3 yi1:4 dian3 dian3:,a tiny bit shorter (non-person)
长一点儿,chang2 yi1:4 dia3 r,a bit longer (non-person)
比较矮,bi3 jiao4 ai3,shorter than/relatively short (person)
越来越热,yue4 lai2 yue4 re4,getting hotter/more and more hot
挺咸的,ting3 xian2 de,quite salty/rather salty
更可爱,geng4 ke3 ai4,even cuter/even more lovely
相当慢,xiang1 dang1 man4,considerably slow/significantly slow
多么脏啊,duo1 me zang1 a,how dirty it is!/how dirty!
特别冷,te4 bie2 leng3,especially cold
好忙,hao3 mang2,so busy (好 to intensify adj with subjective opinion)
真老,zhen1 lao3,really old (possibly sarcastic) (alt. 真的老)
非常小,fei1 chang2 xiao3,very small
十分酸,shi2 fen1 suan1,very sour (lit. ten parts sour)
美极了,mei3 ji2 le,extremely pretty/extremely beautiful (formal)
高兴死了,gao1 xing4 si3 le,happy to death/extremely happy (slang)
太贵了,tai4 gui4 le,too expensive
最好,zui4 hao3,best/superlatively good/someone had better do something
食,shi2,eat or feed (verb)/food (noun) [饣]
堂,tang2,hall/large room (c. 食堂)
食堂,shi2 tang2,cafeteria/dining hall
求,qiu2,seek/look for/request/demand (c. 要求)
要求,yao1 qiu2,require or demand (verb)/requirements or demands (noun)
校长,xiao4 zhang3,school principal/headmaster
必,bi4,certainly/must/necessarily (c. 必须)
须,xu1,must/have to (c. 必须)
必须,bi4 xu1,have to/must/necessarily/compulsory
作业,zuo4 ye4,homework assignment/task/operation
成,cheng2,succeed/finish/complete (c. 完成/成熟)
完成,wan2 cheng2,complete/accomplish/finish successfully
铅,qian1,lead (metal noun) (c. 铅笔)
铅笔,qian1 bi3,pencil
笔记,bi3 ji4,notes
笔记本,bi3 ji4 ben3,notebook
向,xiang4,turn towards/direction/from (prep)
借,jie4,lend/borrow
向，借，,xiang4 : jie4 :,from (someone) borrow (something)
可以借我，吗,ke3:2 yi3 jie4 wo3 : ma,could you lend me ... ?/may i borrow ... ?
让我向你借铅笔和纸,rang4 wo3 xiang4 ni3 jie4 qian1 bi3 he2 zhi3,let me borrow your pencil and paper
天天,tian1 tian1,every day/daily/day by day
向上,xiang4 shang4,upwards/advance/make progress
向下,xiang4 xia4,downwards/regress
板,ban3,board/plank (c. 老板/黑板/地板/天花板)
地板,di4 ban3,floor
天花板,tian1 hua1 ban3,ceiling
老板,lao3:2 ban3,boss
黑板,hei1 ban3,blackboard
体育馆,ti3 yu4 guan3,indoor stadium for sporting events
体育场,ti3 yu4 chang3,outdoor stadium for sporting events
没错,mei2 cuo4,not wrong/cannot go wrong/sure
没了,mei2 le,not to be/cease to exist
变,bian4,transform/change/become different (c. 变化)
化,hua4,transform or change into (c. 变化)/-ize or -ization (suffix)
变化,bian4 hua4,change/vary
搬,ban1,relocate oneself/move something bulky (c. 搬家)
搬家,ban1 jia1,relocate residence/move one's house (can replace 家 with 去/来)
算,suan4,regard as/figure/calculate (c. 打算/预算)
打算,da3 suan4,plan/intend/calculate
机会,ji1 hui4,chance/opportunity/occasion
选,xuan3,select/choose/elect (c. 选择)
择,ze2,select/choose/differentiate (c. 选择)
选择,xuan3 ze2,select or choose (verb)/selection or choice (noun)
国家,guo2 jia1,country/nation/state
留学,liu2 xue2,study abroad
结,jie2,tie or bind (verb)/knot or bond (noun) (c. 结婚)
婚,hun1,marry (verb)/marriage or wedding (noun) (c. 结婚)
结婚,jie2 hun1,marry
认真,ren4 zhen1,serious or earnest (adj)/take seriously (verb)
愿,yuan4,ready or willing (adj)/wish or desire (verb) (c. 愿意/愿望/志愿)
愿意,yuan4 yi4,ready or willing (adj)/wish or want (verb)
志,zhi4,aspiration/ambition/mental will (c. 志愿/同志)
志愿,zhi4 yuan4,volunteer (verb) (c. 志愿者)/aspiration or ambition (noun)
志愿者,zhi4 yuan4 zhe3,volunteer (noun)
害,hai4,harm/evil/cause trouble (c. 害怕)
害怕,hai4 pa4,afraid/scared
分手,fen1 shou3,part company/split up/break up
当,dang1,to be in the future/act as/work as (c. 当然)
当然,dang1 ran2,of course/as it should be/no doubt
放心,fang4 xin1,feel relieved/feel reassured/be at ease
上去,shang4 qu4,go up/ascend
下去,xia4 qu4,go down/descend
上来,shang4 lai2,come up/approach
下来,xia4 lai2,come down/completed action marker
走上去,zou3 shang4 qu4,walk up/go up by walking
游下去,you2 xia4 qu4,swim down/go down by swimming
飞上来,fei1 shang4 lai2,fly up/come up by flying
跑下来,pao3 xia4 lai2,run down/come down by running
环,huan2,ring/hoop/loop (c. 环境)
境,jing4,border/boundary (c. 环境/语境)
环境,huan2 jing4,surroundings/environment
方便,fang1 bian4,convenient/make things easy
草,cao3,grass/straw/manuscript (c. 草药) [艹]
阳,yang2,sun/yang element (c. 太阳)
太阳,tai4 yang2,sun
星星,xing1 xing1:,star
不见了,bu4:2 jian4 le,missing/disappeared/gone (after noun)
给，送,gei3 : song4,to (something) give (something as a gift)
送花给她,song4 hua1 gei3 ta1,give flowers to her/give her flowers
静,jing4,quiet/still/not moving (c. 安静/冷静)
安静,an1 jing4,quiet/silent/peaceful/calm
层,ceng2,floor/layer/stratum (mw)
楼,lou2,floor/storied building (noun)
三层楼,san1 ceng2 lou2,three stories/3 stories (of a building)
第三层楼,di4 san1 ceng2 lou2,third floor/3rd floor
响,xiang3,echo/sound/phone ring (mw) (c. 影响)
声,sheng1,sound/voice/tone (c. 声音)
邻,lin2,neighbor/adjacent (c. 邻居)
居,ju1,reside (verb)/residence (noun) (c. 邻居)
邻居,lin2 ju1,neighbor/next door
影响,ying3:2 xiang3,influence/affect/bother/disturb
声音,sheng1 yin1,sound/noise/volume/voice
轻声,qing1 sheng1,soft/softly/neutral tone
大声,da4 sheng1,loud/loudly/high voice
小声,xiao3 sheng1,quietly/whisper/low voice
他大声地说话,ta1 da4 sheng1 de shuo1 hua4,he speaks loudly/he talks loudly
她唱歌唱得好轻声,ta1 chang4 ge1 chang4 de hao3 qing1 sheng1,she sings so softly
它死得真小声,ta1 si3 de zhen1 xiao3 sheng1,it dies really quietly
抱,bao4,hug/surround/carry in arms (c. 抱歉)
歉,qian4,apologize/regret (c. 抱歉/道歉)
抱歉,bao4 qian4,feel sorry/feel apologetic
桶,tong3,bucket/bin (c. 水桶)
水桶,shui3:2 tong3,bucket
丢,diu1,lose/throw/discard (c. 丢弃/丢脸)
丢弃,diu1 qi4,discard/abandon
垃圾,la1 ji1,trash/garbage/low quality
垃圾桶,la1 ji1 tong3,trash can/garbage can
天上,tian1 shang4,sky/celestial/heavenly
先生,xian1 sheng1:,mister/mr./husband
小姐,xiao3:2 jie3,miss/ms.
太太,tai4 tai4:,married woman/wife/mrs.
经理,jing1 li3,manager
同事,tong2 shi4,colleague/coworker
重,zhong4 :: chong2,heavy (weight)/serious (c. 重要) :: repeat/again/repetition (c. 重来/重建)
重要,zhong4 yao4,important/significant
重来,chong2 lai2,start over/do something over again
重复,chong2 fu4,repeat/duplicate
重建,chong2 jian4,rebuild/reconstruction
突,tu1,dash/rush out/protrude (c. 突然)
突然,tu1 ran2,suddenly/unexpectedly/abruptly (unusual event)
议,yi4,suggest/comment on (c. 会议)
会议,hui4 yi4,meeting/conference
解,jie3,divide/solve (c. 解决/解答)
决,jue2,decide/determine (c. 解决)
解决,jie3 jue2,resolve/settle dispute
相信,xiang1 xin4,believe/trust/be convinced
办法,ban4 fa3,actionable method or way for solving a problem (alt. 办事情的方法)
河,he2,river (c. 黄河)
黄河,huang2 he2,yellow river
江,jiang1,river (c. 长江)
长江,chang2 jiang1,yangtze river/long river
宫,gong1,palace/temple
世,shi4,generation/era/world (c. 世界/世纪)
界,jie4,boundary/scope/extent (c. 世界/边界)
世界,shi4 jie4,world
边界,bian1 jie4,border/boundary
动物,dong4 wu4,animal
有名,you3 ming2,famous/well-known
熊,xiong2,bear (animal)
熊猫,xiong2 mao1,panda bear
西安,xi1 an1,xian/xi'an (place)
故宫,gu4 gong1,forbidden city/former palace
功,gong1,achievement/accomplishment (c. 功夫/成功)
功夫,gong1 fu1:,kung fu
自行车,zi4 xing2 che1,bicycle/bike (lit. self moving vehicle)
文化,wen2 hua4,culture/civilization
历,li4,history/experience/undergo (c. 历史/经历)
史,shi3,history/annals (c. 历史)
历史,li4 shi3,history
了解,liao3:2 jie3,understand/realize/find out about
