# chinese,pinyin,english and descriptions
喂,wei4,hey/hello/use 2nd tone to answer phone
久,jiu3,long (time only)
好久不见,hao3:2 jiu3 bu4:2 jian4,long time no see
请,qing3,please/request/invite
问,wen4,ask someone about something
题,ti2,topic/subject (c. 问题/主题/话题)
问题,wen4 ti2,question/problem/issue
话题,hua4 ti2,topic/subject (of a conversation)
请问,qing3 wen4,excuse me/pardon me (lit. please ask)
谢谢,xie4 xie4:,thanks
客,ke4,guest/customer (c. 客气/游客/客人)
气,qi4,gas/air/vital energy (c. 客气)
客气,ke4 qi4,polite/modest/air of a guest
不客气,bu4:2 ke4 qi4,you're welcome/don't stand on ceremony (alt. 别客气)
别客气,bie2 ke4 qi4,you're welcome/don't stand on ceremony (alt. 不客气)
起,qi3,arise/get up/stand up (c. 对不起/起床/一起/起飞/看起来)
对不起,dui4 bu4 qi3,sorry/excuse me/i beg your pardon
关,guan1,close/shut
系,xi4,connect/bind/tie up (c. 关系/联系/系统)
再,zai4,again (used before verb)
见,jian4,see/meet (a person) (alt. 和，见面)
和，见面,he2 : jian4 mian4,meet someone specific (alt. 见+person)
再见,zai4 jian4,goodbye/see soon
吗,ma,yn?/yes or no question suffix
不,bu4,no/not (negates present/future actions)
是不是,shi4 bu4:2 shi4,whether/is it not? (pattern for yn?)
也,ye3,also/too/neither when negated (adv)
吃,chi1,eat
饭,fan4,meal/serving/rice (when bound)
餐,can1,meal (component only/not standalone noun) (c. 中餐)
鱼,yu2,fish
鱼肉,yu2 rou4,fish meat
面,mian4,face/surface/noodles (when bound)
早饭,zao3 fan4,breakfast
早餐,zao3 can1,breakfast
午饭,wu3 fan4,lunch
午餐,wu3 can1,lunch
晚饭,wan3 fan4,dinner/supper
晚餐,wan3 can1,dinner/supper
喝,he1,drink (verb)
水,shui3,water [氵]
茶,cha2,tea
牛,niu2,cow/bull/ox/awesome (slang) [牜]
奶,nai3,milk
牛奶,niu2 nai3,cow milk
咖啡,ka1 fei1,coffee (loanword)
冰,bing1,ice/chill/feel cold (c. 冰箱/冰水) [冫]
热,re4,hot (adj)/heat up (verb) (c. 热情/热水)
冰水,bing1 shui3,ice water
热水,re4 shui3,hot water
姓,xing4,last name/to be surnamed
最,zui4,best/most (superlative)
要,yao4,wants or needs/going to/will (usually with future time & weaker than 得)
想,xiang3,act of thinking/desire/miss someone/wants (when preceding an action verb)
想要,xiang3 yao4,would like/seriously consider
你要去哪儿,ni3 yao4 qu4 na3 r,where are you going to go?
帮,bang1,help/assist/support (c. 帮忙/帮助)
帮助,bang1 zhu4,help/assist (should include object) (sim. 帮忙)
帮忙,bang1 mang2,help/assist (do not include object) (sim. 帮助)
说,shuo1,say/speak/tell
白,bai2,white color/pure
明白,ming2 bai2:,understand/clear/obvious
得,de :: de2 :: dei3,describe/modify action (verb+得+adj) :: get/obtain/gain :: need to (before verb)
快,kuai4,fast/quickly/soon
慢,man4,slowly
他吃得很快,ta1 chi1 de hen3 kuai4,he eats quickly
她说得很清楚,ta1 shou1 de hen3 qing1 chu3,she speaks clearly
你游泳游得最好,ni3 you2 yong3 you2 de zui4 hao3,you swim the best (no context)
你游得最好,ni3 you2 de zui4 hao3,you swim the best (in context)
我跑步跑得不错,wo3:2 pao3 bu4 pao3 de bu4:2 cuo4,i run pretty well (no context)
我跑得不错,wo3:2 pao3 de bu4:2 cuo4,i run pretty well (in context)
他们打篮球打得非常慢,ta1 men da3 lan2 qiu2 da3 de fei1 chang2 man4,they play basketball very slowly (no context)
他们打得非常慢,ta1 men da3 de fei1 chang2 man4,they play very slowly (in context)
次,ci4,number of times/iteration (mw)
一次,yi1:2 ci4,once/once time
两次,liang3 ci4,twice/two times
几次,ji3 ci4,how many times?/many times
高,gao1,tall/high person
矮,ai3,short/low person
兴,xing4,excitement/interest in (c. 高兴/兴趣)
高兴,gao1 xing4,happy (short lasting)
错,cuo4,mistake/wrong/bad/incorrectly
不错,bu4:2 cuo4,not bad/pretty good
很,hen3,very/really (before verb)/noun-很-adj default connector
呢,ne,and?/what about? (in-context suffix to contrast with others)
和,he2,and/together with (link nouns)
钱,qian2,money/coin
字,zi4,letter/symbol/character/word
名,ming2,name/famous (c. 名字/有名/签名)
名字,ming2 zi4:,name/first name
本名,ben3 ming2,original name/real name
汉字,han4 zi4:,chinese character/chinese writing
什,shen2,what (c. 什么)
么,me,interrogative suffix/open-ended question (c. 什么/怎么)
什么,shen2 me,what?
候,hou4,time (noun)/wait (verb)
什么时候,shen2 me shi2 hou4:,when?
时,shi2,time (c. 时间/时候)
时间,shi2 jian1,time (standalone noun)/duration of time
时候,shi2 hou4,period of time/moment in time (never a duration of time)
空,kong1 :: kong4,empty/air/sky/in vain :: vacant (adj)/to empty (verb)
有空,you3 kong4,available/have time to do something
多,duo1,many/more/much (adj)
少,shao3,few/less/little (adj)
多少,duo1 shao3,how many?/how much? (large or uncountable quantity)
叫,jiao4,am/be called/tell someone to do something (titled names use 是 but not 叫)
电,dian4,electric/electricity
话,hua4,spoken words/speech (c. 电话)
电话,dian4 hua4,phone/telephone
码,ma3,code or weight (noun)/stack or pile (verb) (c. 电话号码/密码)
电话号码,dian4 hua4 hao4 ma3,phone number
打电话,da3 dian4 hua4,make phone call/call on the phone
给他打电话,gei3 ta1 da3 dian4 hua4,call him on the phone/give him a call
中,zhong1 :: zhong4,central/middle :: be hit by/suffer from
